mehtod;bradley;;;;
name;dKs_casB_abac;;;;
M;phi=0;phi=15;phi=30;phi=45;phi>45
0.000;0.000;-0.094;-0.266;-0.494;-0.594
0.300;0.000;-0.094;-0.266;-0.494;-0.594
0.350;0.000;-0.073;-0.208;-0.385;-0.594
0.400;0.000;-0.050;-0.148;-0.274;-0.594
0.500;0.000;-0.007;-0.037;-0.072;-0.594
0.550;0.000;0.010;0.008;0.010;-0.594
0.600;0.000;0.022;0.042;0.074;-0.594
0.650;0.000;0.029;0.066;0.119;-0.594
0.700;0.000;0.031;0.078;0.144;-0.594
0.750;0.000;0.029;0.079;0.150;-0.594
0.800;0.000;0.023;0.071;0.139;-0.594
0.850;0.000;0.015;0.056;0.113;-0.594
0.900;0.000;0.006;0.037;0.076;-0.594
1.000;0.000;0.000;0.000;0.000;0.000
