mehtod;bradley;;;;;;;
name;DKp_abac;;;;;;;
J;1;2;3;4;5;6;7;8
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.010;0.050;0.035;0.025;0.021;0.015;0.013;0.011;0.007
0.020;0.109;0.084;0.060;0.050;0.038;0.030;0.026;0.016
0.030;0.183;0.145;0.095;0.080;0.067;0.054;0.043;0.028
0.040;0.257;0.210;0.136;0.116;0.093;0.076;0.063;0.039
0.058;0.400;0.322;0.216;0.178;0.148;0.122;0.102;0.065
0.070;0.400;0.400;0.272;0.225;0.185;0.150;0.130;0.085
0.098;0.400;0.400;0.400;0.328;0.272;0.224;0.191;0.131
0.116;0.400;0.400;0.400;0.400;0.327;0.272;0.232;0.165
0.139;0.400;0.400;0.400;0.400;0.400;0.330;0.285;0.205
0.165;0.400;0.400;0.400;0.400;0.400;0.400;0.352;0.252
0.180;0.400;0.400;0.400;0.400;0.400;0.400;0.385;0.276
0.180;0.400;0.400;0.400;0.400;0.400;0.400;0.385;0.276
